,ACCT_ID_M,CUST_ID,STREAMING_SERVICE,ACCT_TYPE,SERVICE_TYPE,CONT_TENURE_MTHS,CUSTOMER_AGE,NUM_CUSTOMER_BILLABLE_ACCOUNTS,CONSUME_SPORTS_SUBSIDISED,TOTAL_DISCOUNT_PERCENT
1085553,22929283,14824778,NETFLIX,INDIVIDUAL,SPORTS,21,49.0,3,0,0
199699,16923669,8831720,NETFLIX,INDIVIDUAL,SPORTS,67,56.0,1,0,30
533407,25124129,19012511,NETFLIX,INDIVIDUAL,ENTERTAINMENT,1,44.0,2,0,0
334221,22430133,164226506,STAN,INDIVIDUAL,ENTERTAINMENT,25,33.0,2,0,13
1529002,16775871,12959210,NETFLIX,INDIVIDUAL,SPORTS,110,94.0,1,0,0
1942451,19428623,11988614,NETFLIX,INDIVIDUAL,ENTERTAINMENT,49,40.0,2,0,29
2029032,22329655,15361787,STAN,INDIVIDUAL,SPORTS,25,39.0,2,0,11
2271418,22043987,18124388,NETFLIX,INDIVIDUAL,SPORTS,28,56.0,2,0,0
643687,24457111,169189997,NETFLIX,INDIVIDUAL,ENTERTAINMENT,9,27.0,2,0,16
2017545,12603829,17905202,NETFLIX,INDIVIDUAL,ENTERTAINMENT,110,57.0,2,0,20
600741,18721949,69280697,STAN,INDIVIDUAL,ENTERTAINMENT,56,28.0,2,0,22
1992068,25081015,173297381,NETFLIX,INDIVIDUAL,ENTERTAINMENT,3,29.0,1,0,0
908817,17475731,11512568,STAN,INDIVIDUAL,SPORTS,65,75.0,2,0,0
1890867,23951501,167665838,STAN,INDIVIDUAL,SPORTS,12,65.0,2,0,0
1334325,25611,16451372,STAN,INDIVIDUAL,ENTERTAINMENT,74,52.0,2,0,22
2191195,20935303,152602805,NETFLIX,INDIVIDUAL,SPORTS,38,29.0,2,0,0
336114,13367279,9013016,STAN,INDIVIDUAL,ENTERTAINMENT,111,87.0,3,0,28
784017,1916627,3427289,STAN,INDIVIDUAL,SPORTS,148,46.0,1,0,0
238843,25279589,173677496,STAN,INDIVIDUAL,SPORTS,2,51.0,1,0,0
319931,12203941,8454734,STAN,INDIVIDUAL,SPORTS,145,89.0,1,0,0
107151,21566581,161809418,NETFLIX,INDIVIDUAL,SPORTS,32,47.0,2,0,0
642710,24828417,170473220,NETFLIX,INDIVIDUAL,ENTERTAINMENT,5,25.0,2,0,19
1790595,17234643,20332610,STAN,INDIVIDUAL,ENTERTAINMENT,68,35.0,2,0,14
2139404,18212205,23680658,NETFLIX,INDIVIDUAL,SPORTS,60,45.0,2,0,20
1871588,20569573,69696188,PARAMOUNT,INDIVIDUAL,SPORTS,42,38.0,2,1,0
96869,8479857,4000202,NETFLIX,INDIVIDUAL,SPORTS,103,76.0,2,0,26
1015170,13608083,15660797,STAN,INDIVIDUAL,SPORTS,77,45.0,2,0,29
663114,23313891,163351763,DISNEY,INDIVIDUAL,SPORTS,17,31.0,1,0,17
991478,24081651,165633491,STAN,INDIVIDUAL,SPORTS,11,26.0,2,0,0
1678027,9756493,17444621,STAN,INDIVIDUAL,SPORTS,147,45.0,1,0,0
1989637,14665065,1917635,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,39.0,2,0,8
2273536,11811235,9895205,STAN,INDIVIDUAL,SPORTS,123,36.0,2,0,38
1122915,24960473,10375307,NETFLIX,INDIVIDUAL,SPORTS,4,38.0,4,0,0
439386,19011379,69550958,NETFLIX,INDIVIDUAL,SPORTS,52,42.0,1,1,0
1421984,2471791,8229539,NETFLIX,INDIVIDUAL,SPORTS,111,83.0,1,0,0
1032697,9281369,3332465,STAN,INDIVIDUAL,SPORTS,92,96.0,2,0,27
1937591,10961245,10578446,STAN,INDIVIDUAL,SPORTS,146,45.0,2,0,14
517517,24296747,168411098,STAN,INDIVIDUAL,SPORTS,10,33.0,2,0,0
843985,25019341,173121533,STAN,INDIVIDUAL,SPORTS,4,45.0,2,0,0
141591,4383509,10000940,STAN,INDIVIDUAL,ENTERTAINMENT,124,63.0,2,0,35
1849637,12682623,19138592,STAN,INDIVIDUAL,SPORTS,81,33.0,2,0,25
856831,2717449,6606689,STAN,INDIVIDUAL,SPORTS,74,33.0,2,0,0
700235,23187407,166131788,STAN,INDIVIDUAL,SPORTS,18,44.0,2,0,10
734661,24974935,171174578,PARAMOUNT,INDIVIDUAL,ENTERTAINMENT,1,32.0,2,0,15
928942,5918053,1601774,STAN,INDIVIDUAL,ENTERTAINMENT,147,61.0,2,0,0
488486,2164361,14460083,NETFLIX,INDIVIDUAL,SPORTS,112,59.0,1,1,28
1020220,18519773,5961965,NETFLIX,INDIVIDUAL,ENTERTAINMENT,55,44.0,1,0,8
1402676,20985715,23870201,NETFLIX,INDIVIDUAL,ENTERTAINMENT,38,31.0,2,0,8
1742005,20485299,150532160,STAN,INDIVIDUAL,ENTERTAINMENT,44,45.0,2,0,22
1792364,1149693,13054844,STAN,INDIVIDUAL,SPORTS,145,72.0,2,1,6
1048540,24850975,8366024,NETFLIX,INDIVIDUAL,SPORTS,5,36.0,4,0,0
2039727,21984361,163027448,STAN,INDIVIDUAL,ENTERTAINMENT,28,35.0,2,0,11
1973259,8495313,19439354,NETFLIX,INDIVIDUAL,SPORTS,95,84.0,2,0,0
1394858,23622913,167015246,NETFLIX,INDIVIDUAL,SPORTS,15,68.0,2,1,0
2265833,21818831,162487358,NETFLIX,INDIVIDUAL,ENTERTAINMENT,29,37.0,2,0,8
1665581,12449081,17113958,STAN,INDIVIDUAL,ENTERTAINMENT,113,65.0,2,0,7
1650748,25114557,167445053,NETFLIX,INDIVIDUAL,ENTERTAINMENT,1,48.0,1,0,16
409276,7696601,3310571,STAN,INDIVIDUAL,SPORTS,85,36.0,2,1,10
1814872,21998191,163044011,NETFLIX,INDIVIDUAL,ENTERTAINMENT,28,42.0,2,0,8
860608,13717743,17188232,NETFLIX,INDIVIDUAL,SPORTS,112,52.0,1,0,0
1564726,17705781,16694099,NETFLIX,INDIVIDUAL,ENTERTAINMENT,64,58.0,2,0,19
1682997,15128219,17324399,NETFLIX,INDIVIDUAL,SPORTS,96,88.0,2,0,20
108244,17255411,19719338,NETFLIX,INDIVIDUAL,SPORTS,67,58.0,1,0,16
17873,12877039,13417526,STAN,INDIVIDUAL,ENTERTAINMENT,104,63.0,2,0,33
1318326,18002299,10618298,STAN,INDIVIDUAL,SPORTS,62,32.0,2,0,0
2123860,2368707,16236776,STAN,INDIVIDUAL,SPORTS,114,66.0,3,0,0
406068,23102297,165943130,NETFLIX,FAMILY ACCT,SPORTS,22,,1,0,0
2093102,23807827,23925473,STAN,INDIVIDUAL,SPORTS,14,28.0,2,0,14
307593,12034385,45377,NETFLIX,INDIVIDUAL,SPORTS,111,44.0,2,0,0
1781187,23923525,20394098,NETFLIX,INDIVIDUAL,ENTERTAINMENT,12,28.0,2,0,0
803090,727753,14512424,STAN,INDIVIDUAL,SPORTS,146,69.0,2,0,0
682124,23424879,23719469,NETFLIX,INDIVIDUAL,ENTERTAINMENT,14,40.0,2,0,22
495375,24972959,164042402,NETFLIX,INDIVIDUAL,SPORTS,4,57.0,2,0,0
1345156,22074891,163215149,NETFLIX,INDIVIDUAL,SPORTS,28,35.0,2,0,0
770674,24190179,150631844,STAN,INDIVIDUAL,SPORTS,11,27.0,2,0,0
908245,1871513,14198996,STAN,INDIVIDUAL,SPORTS,148,59.0,2,0,14
2113973,25288171,13925849,STAN,INDIVIDUAL,SPORTS,2,53.0,1,0,0
1214400,20218835,125818361,PARAMOUNT,INDIVIDUAL,SPORTS,44,66.0,2,0,0
740982,5654395,5769050,STAN,INDIVIDUAL,SPORTS,91,37.0,2,0,0
1258213,24426267,169120163,STAN,INDIVIDUAL,ENTERTAINMENT,9,61.0,2,0,24
264974,619237,4185533,NETFLIX,INDIVIDUAL,SPORTS,112,46.0,2,0,0
1449173,23819549,167378432,NETFLIX,INDIVIDUAL,SPORTS,16,50.0,2,0,0
1324299,25499465,174241493,STAN,INDIVIDUAL,SPORTS,2,69.0,1,0,0
1895944,18594437,5639273,DISNEY,INDIVIDUAL,SPORTS,58,84.0,1,1,16
1372152,16425831,16658837,STAN,INDIVIDUAL,ENTERTAINMENT,125,50.0,2,0,11
2230447,6853479,2636375,STAN,INDIVIDUAL,SPORTS,147,55.0,1,1,0
1056937,16659535,17235779,STAN,INDIVIDUAL,ENTERTAINMENT,135,72.0,3,0,34
2044602,18166483,23633258,NETFLIX,INDIVIDUAL,ENTERTAINMENT,61,54.0,2,0,11
1263858,13199757,6056558,STAN,INDIVIDUAL,ENTERTAINMENT,104,84.0,2,0,32
458776,23543663,12552785,NETFLIX,INDIVIDUAL,SPORTS,16,35.0,2,0,25
1198896,19486239,17043695,NETFLIX,INDIVIDUAL,SPORTS,50,94.0,2,0,0
1468857,24156683,168186308,STAN,FAMILY ACCT,SPORTS,13,,1,0,6
444827,25037877,173138333,NETFLIX,INDIVIDUAL,SPORTS,4,62.0,2,1,0
1739146,3847423,10017383,STAN,INDIVIDUAL,ENTERTAINMENT,73,66.0,2,0,28
982698,13910649,8139440,NETFLIX,INDIVIDUAL,SPORTS,94,56.0,1,0,0
2335918,4100733,19354877,STAN,INDIVIDUAL,SPORTS,111,55.0,2,1,0
1548024,11236237,7477193,STAN,INDIVIDUAL,ENTERTAINMENT,111,58.0,2,0,0
166120,23460371,1804682,NETFLIX,INDIVIDUAL,SPORTS,16,86.0,1,0,25
2019823,24523107,169343402,NETFLIX,INDIVIDUAL,SPORTS,8,20.0,2,0,0
2007721,13270849,5206613,STAN,INDIVIDUAL,SPORTS,125,79.0,2,0,16
1711462,17757231,20801579,AMAZON PRIME,INDIVIDUAL,SPORTS,63,55.0,2,0,23
238091,4373403,17350106,AMAZON PRIME,INDIVIDUAL,SPORTS,86,46.0,2,0,0
1262864,15441355,7256231,NETFLIX,INDIVIDUAL,SPORTS,92,43.0,2,1,16
708758,21523547,161761649,NETFLIX,INDIVIDUAL,ENTERTAINMENT,33,45.0,2,0,8
365821,15703617,18932666,NETFLIX,FAMILY ACCT,SPORTS,112,,1,0,0
88961,10405207,11541065,NETFLIX,INDIVIDUAL,SPORTS,112,45.0,1,0,4
1463084,10066283,3575810,AMAZON PRIME,INDIVIDUAL,ENTERTAINMENT,137,53.0,2,0,20
1728823,23307457,125066135,NETFLIX,INDIVIDUAL,ENTERTAINMENT,17,38.0,2,0,8
1891246,25008181,123736478,NETFLIX,INDIVIDUAL,SPORTS,4,30.0,4,0,0
1457637,16102541,3929078,DISNEY,INDIVIDUAL,SPORTS,84,,14,0,0
1984918,24366127,168809480,STAN,INDIVIDUAL,ENTERTAINMENT,8,80.0,2,0,26
22951,24025441,13775093,NETFLIX,INDIVIDUAL,ENTERTAINMENT,12,38.0,7,0,16
1200741,18999993,22358306,STAN,INDIVIDUAL,ENTERTAINMENT,54,72.0,1,0,0
1436324,727341,2797133,STAN,INDIVIDUAL,SPORTS,72,40.0,2,0,28
555970,22345443,10418915,STAN,INDIVIDUAL,SPORTS,25,50.0,2,0,10
48074,20787127,13857920,NETFLIX,INDIVIDUAL,ENTERTAINMENT,39,36.0,2,0,22
636567,20796957,17028392,NETFLIX,INDIVIDUAL,SPORTS,39,57.0,1,0,26
2024418,14604161,1784957,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,53.0,2,0,4
2185528,24531711,169352495,NETFLIX,INDIVIDUAL,SPORTS,8,53.0,2,0,0
158307,12207735,9880796,NETFLIX,INDIVIDUAL,SPORTS,111,68.0,1,0,12
1534578,4720361,5221244,STAN,INDIVIDUAL,ENTERTAINMENT,76,66.0,2,0,28
1668169,4508117,11737985,AMAZON PRIME,INDIVIDUAL,SPORTS,145,59.0,1,1,3
2280520,5385377,7145666,STAN,INDIVIDUAL,ENTERTAINMENT,105,68.0,2,0,35
1429086,7501633,3363308,STAN,INDIVIDUAL,ENTERTAINMENT,124,55.0,2,0,34
2275352,25554941,3361169,NETFLIX,INDIVIDUAL,ENTERTAINMENT,0,51.0,2,0,8
101953,2730641,146807,NETFLIX,INDIVIDUAL,ENTERTAINMENT,94,38.0,2,0,8
16387,9390811,16268312,STAN,INDIVIDUAL,SPORTS,145,55.0,2,0,47
619391,23373327,161156603,NETFLIX,INDIVIDUAL,SPORTS,17,30.0,1,0,0
994261,24575919,169602878,NETFLIX,INDIVIDUAL,SPORTS,7,26.0,1,0,0
1494884,10277513,14741204,NETFLIX,INDIVIDUAL,SPORTS,113,,1,0,0
2302908,18382269,18786131,NETFLIX,INDIVIDUAL,SPORTS,59,78.0,2,1,20
1038421,19908015,5028875,NETFLIX,INDIVIDUAL,SPORTS,47,79.0,2,0,17
1781046,25304149,152419001,STAN,FAMILY ACCT,ENTERTAINMENT,2,,9,0,8
859590,16393623,554597,NETFLIX,INDIVIDUAL,SPORTS,110,97.0,2,0,0
558286,8860637,19161929,STAN,INDIVIDUAL,SPORTS,145,75.0,2,0,0
296299,25327549,15931055,STAN,INDIVIDUAL,ENTERTAINMENT,2,,6,0,0
1930689,22794215,20255201,STAN,INDIVIDUAL,SPORTS,22,31.0,3,0,0
723140,8225131,13313051,STAN,INDIVIDUAL,ENTERTAINMENT,85,50.0,2,0,13
843742,23244155,166218395,STAN,INDIVIDUAL,ENTERTAINMENT,20,63.0,2,0,11
1129735,3659917,13352792,NETFLIX,INDIVIDUAL,ENTERTAINMENT,107,59.0,2,0,28
2227703,20417349,4702445,STAN,INDIVIDUAL,SPORTS,43,77.0,2,0,40
892491,17363451,11629202,STAN,INDIVIDUAL,ENTERTAINMENT,65,71.0,2,0,28
2054829,25328415,173822135,STAN,INDIVIDUAL,SPORTS,2,31.0,2,0,0
1775246,18104875,14419592,STAN,INDIVIDUAL,SPORTS,61,60.0,2,0,0
930956,19487203,119572337,STAN,INDIVIDUAL,SPORTS,50,68.0,2,0,34
2284879,22007763,69788474,NETFLIX,INDIVIDUAL,ENTERTAINMENT,37,30.0,2,0,0
1129221,9440411,17881394,STAN,INDIVIDUAL,SPORTS,147,38.0,4,0,0
99157,4045361,10686320,STAN,FAMILY ACCT,ENTERTAINMENT,135,,1,0,12
384789,23304029,150591806,NETFLIX,FAMILY ACCT,SPORTS,27,,2,0,22
806196,22302525,11442599,AMAZON PRIME,INDIVIDUAL,ENTERTAINMENT,27,62.0,2,0,8
1439546,14932039,12377660,NETFLIX,INDIVIDUAL,ENTERTAINMENT,113,56.0,2,0,17
42707,17976035,13777049,NETFLIX,INDIVIDUAL,SPORTS,62,44.0,4,0,0
248717,16631691,8107172,NETFLIX,INDIVIDUAL,SPORTS,117,54.0,1,1,0
582080,1201701,11179640,NETFLIX,INDIVIDUAL,ENTERTAINMENT,113,54.0,2,0,4
2103507,14386883,16695212,NETFLIX,INDIVIDUAL,SPORTS,112,72.0,1,1,0
2229477,10853843,1029371,NETFLIX,INDIVIDUAL,SPORTS,114,64.0,2,0,17
210918,13278153,18819779,STAN,INDIVIDUAL,ENTERTAINMENT,147,,1,0,6
2133776,20622801,150871172,STAN,INDIVIDUAL,SPORTS,41,39.0,2,0,0
1104694,23025749,165777713,STAN,INDIVIDUAL,ENTERTAINMENT,20,26.0,2,0,11
2250552,14155083,4354067,NETFLIX,INDIVIDUAL,SPORTS,112,43.0,1,1,0
1773293,1950287,17078813,NETFLIX,INDIVIDUAL,SPORTS,82,46.0,1,0,20
1025437,18063871,1552796,STAN,INDIVIDUAL,ENTERTAINMENT,62,65.0,1,0,34
2146803,23513727,1258643,NETFLIX,INDIVIDUAL,ENTERTAINMENT,16,39.0,2,0,22
316175,24473987,22561295,NETFLIX,INDIVIDUAL,ENTERTAINMENT,8,38.0,2,0,0
1020853,4881779,12051794,NETFLIX,FAMILY ACCT,SPORTS,113,,1,0,0
1857381,25245645,14850875,NETFLIX,INDIVIDUAL,SPORTS,5,41.0,2,0,0
136896,19936623,12443930,NETFLIX,FAMILY ACCT,SPORTS,47,,1,0,19
1933195,6248133,5601146,STAN,INDIVIDUAL,SPORTS,131,47.0,3,1,11
1223141,19496481,119584454,NETFLIX,INDIVIDUAL,ENTERTAINMENT,48,41.0,2,0,28
886627,8541415,13195517,NETFLIX,INDIVIDUAL,SPORTS,71,24.0,1,0,0
2220399,24689187,169925471,NETFLIX,INDIVIDUAL,ENTERTAINMENT,7,28.0,2,0,16
1019390,8183945,7443524,STAN,INDIVIDUAL,SPORTS,146,73.0,2,1,0
233547,4214635,17745914,NETFLIX,FAMILY ACCT,SPORTS,77,,2,0,0
254975,18180363,23644319,NETFLIX,INDIVIDUAL,SPORTS,59,41.0,3,0,0
572778,5506981,4789748,PARAMOUNT,INDIVIDUAL,ENTERTAINMENT,113,61.0,2,0,4
526080,22694859,69809120,NETFLIX,INDIVIDUAL,SPORTS,23,28.0,2,0,16
1992449,20670013,6202682,NETFLIX,INDIVIDUAL,SPORTS,41,70.0,4,0,0
2204733,23745855,167234651,DISNEY,INDIVIDUAL,SPORTS,14,34.0,1,0,20
221955,24125103,4460777,STAN,INDIVIDUAL,SPORTS,11,52.0,2,0,0
1411278,22298351,160785653,NETFLIX,INDIVIDUAL,SPORTS,25,58.0,2,0,0
824827,22367679,164054168,STAN,INDIVIDUAL,ENTERTAINMENT,25,69.0,2,0,22
841546,13673955,237341,NETFLIX,FAMILY ACCT,SPORTS,113,,1,0,0
1113306,14355659,7165985,STAN,INDIVIDUAL,ENTERTAINMENT,146,76.0,2,0,11
151337,25344371,173577428,STAN,INDIVIDUAL,ENTERTAINMENT,2,67.0,2,0,8
650310,4716721,17580053,NETFLIX,INDIVIDUAL,SPORTS,96,59.0,2,0,0
342384,22109163,163343726,STAN,INDIVIDUAL,SPORTS,27,60.0,2,1,0
1190176,19973147,124455923,NETFLIX,INDIVIDUAL,ENTERTAINMENT,49,54.0,2,0,8
655973,9709827,6880352,STAN,INDIVIDUAL,SPORTS,123,38.0,2,0,0
1228797,22135455,69910556,NETFLIX,INDIVIDUAL,ENTERTAINMENT,26,47.0,1,0,8
1496689,13840609,3460649,NETFLIX,INDIVIDUAL,SPORTS,111,67.0,1,0,0
750777,18082687,358400,AMAZON PRIME,INDIVIDUAL,ENTERTAINMENT,59,84.0,2,0,26
2305209,10010911,10586825,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,64.0,3,0,4
2318935,310799,11226422,NETFLIX,INDIVIDUAL,SPORTS,111,89.0,1,0,0
1379454,24810619,170455226,NETFLIX,INDIVIDUAL,SPORTS,6,25.0,1,0,0
1125673,14862607,7709801,NETFLIX,INDIVIDUAL,SPORTS,112,62.0,1,0,0
1898568,7888825,19612883,NETFLIX,INDIVIDUAL,SPORTS,112,77.0,2,1,12
918255,24410653,8816159,DISNEY,INDIVIDUAL,SPORTS,9,39.0,2,0,0
558046,19081749,69512972,STAN,INDIVIDUAL,SPORTS,53,41.0,1,0,0
1826379,17265867,20362352,NETFLIX,INDIVIDUAL,ENTERTAINMENT,65,68.0,2,0,11
694705,18588279,6681353,STAN,INDIVIDUAL,ENTERTAINMENT,58,42.0,2,0,11
1131542,12747341,17264687,NETFLIX,INDIVIDUAL,SPORTS,111,,1,0,0
1535459,19899997,124391027,DISNEY,INDIVIDUAL,SPORTS,47,41.0,1,0,28
1858356,17510625,5104892,NETFLIX,INDIVIDUAL,SPORTS,66,42.0,2,0,0
790796,25352059,168097379,NETFLIX,INDIVIDUAL,SPORTS,2,28.0,4,0,0
4175,23129029,165982634,STAN,INDIVIDUAL,SPORTS,18,65.0,1,0,0
156867,19923551,124413575,STAN,INDIVIDUAL,ENTERTAINMENT,47,47.0,1,0,32
1923132,559351,10192658,NETFLIX,INDIVIDUAL,SPORTS,112,,2,0,0
511783,7779513,15026669,DISNEY,INDIVIDUAL,SPORTS,142,63.0,1,1,0
238501,23283747,8540309,STAN,INDIVIDUAL,ENTERTAINMENT,17,64.0,2,0,28
111052,24307437,19206680,DISNEY,INDIVIDUAL,SPORTS,9,63.0,1,0,0
1461455,18363667,23819534,STAN,INDIVIDUAL,SPORTS,59,42.0,2,0,36
2274667,20564349,18856463,STAN,INDIVIDUAL,SPORTS,42,67.0,2,0,29
966879,3015515,12142721,AMAZON PRIME,INDIVIDUAL,SPORTS,148,60.0,1,1,7
1276636,19184659,69745469,NETFLIX,INDIVIDUAL,SPORTS,52,51.0,1,0,26
1297804,21193715,160598135,STAN,INDIVIDUAL,SPORTS,36,48.0,2,0,0
397488,1060399,6320813,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,66.0,2,0,4
44593,22247585,5904683,STAN,INDIVIDUAL,ENTERTAINMENT,26,29.0,2,0,33
363298,21463673,161391887,NETFLIX,INDIVIDUAL,SPORTS,33,40.0,1,0,0
2256966,22923563,763607,NETFLIX,INDIVIDUAL,SPORTS,19,44.0,2,1,0
2121907,12950787,17748839,NETFLIX,INDIVIDUAL,SPORTS,71,51.0,2,1,32
1602438,7553269,17552501,STAN,INDIVIDUAL,SPORTS,95,48.0,2,0,11
277131,6101335,8816528,NETFLIX,FAMILY ACCT,SPORTS,106,94.0,7,0,0
289209,13947947,890048,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,66.0,2,0,25
1246071,6138005,16090637,STAN,INDIVIDUAL,ENTERTAINMENT,112,85.0,2,0,7
592668,1356883,10704650,STAN,INDIVIDUAL,SPORTS,147,48.0,2,1,34
1031635,25376981,170148632,STAN,INDIVIDUAL,SPORTS,2,24.0,2,0,0
1705200,16772621,6457247,NETFLIX,INDIVIDUAL,SPORTS,112,70.0,2,0,0
1738032,7190251,1360685,NETFLIX,INDIVIDUAL,SPORTS,112,79.0,1,0,0
1909405,25130643,163467149,STAN,INDIVIDUAL,ENTERTAINMENT,3,38.0,4,0,34
1471739,23832157,163960433,STAN,INDIVIDUAL,SPORTS,13,57.0,2,0,13
2076491,24622855,169769399,STAN,INDIVIDUAL,SPORTS,7,39.0,2,0,0
1202913,3500469,7114643,NETFLIX,INDIVIDUAL,ENTERTAINMENT,76,63.0,2,0,17
320804,21729041,15776291,AMAZON PRIME,INDIVIDUAL,SPORTS,31,51.0,2,0,0
2180462,19076635,69630974,NETFLIX,INDIVIDUAL,SPORTS,53,42.0,1,1,28
1549010,7820981,475985,STAN,INDIVIDUAL,SPORTS,118,41.0,1,1,14
1291582,6376935,302558,NETFLIX,INDIVIDUAL,SPORTS,86,34.0,2,0,18
1466016,21734799,155577479,NETFLIX,INDIVIDUAL,SPORTS,31,48.0,1,0,0
1570445,2404589,10777883,NETFLIX,FAMILY ACCT,SPORTS,112,,1,0,0
891473,11536187,19367747,NETFLIX,INDIVIDUAL,ENTERTAINMENT,95,52.0,2,0,8
2087612,19945357,9148388,NETFLIX,INDIVIDUAL,ENTERTAINMENT,47,83.0,2,0,8
263688,19732617,123670559,NETFLIX,INDIVIDUAL,SPORTS,47,62.0,1,0,0
1678652,3029937,17813378,NETFLIX,INDIVIDUAL,ENTERTAINMENT,83,50.0,2,0,8
521692,17994785,22533896,NETFLIX,INDIVIDUAL,ENTERTAINMENT,61,47.0,2,0,13
750035,4901991,12202727,STAN,INDIVIDUAL,SPORTS,145,82.0,1,1,6
850980,13341555,17133890,STAN,FAMILY ACCT,ENTERTAINMENT,112,,1,0,0
815796,6138365,5780402,STAN,INDIVIDUAL,ENTERTAINMENT,96,44.0,1,0,28
1720118,17092425,20205023,NETFLIX,FAMILY ACCT,SPORTS,69,,2,0,20
977422,21691839,162147170,STAN,INDIVIDUAL,SPORTS,30,47.0,2,1,0
2014953,17911823,22407665,STAN,INDIVIDUAL,ENTERTAINMENT,62,60.0,6,0,22
1779027,21321243,161163047,NETFLIX,INDIVIDUAL,SPORTS,34,65.0,1,1,0
943240,13277199,11237894,NETFLIX,INDIVIDUAL,SPORTS,109,46.0,2,0,0
1035575,6441365,6312578,STAN,INDIVIDUAL,ENTERTAINMENT,148,40.0,1,0,0
579926,3080617,4359101,STAN,INDIVIDUAL,SPORTS,107,68.0,2,0,0
187417,23461957,166721402,STAN,INDIVIDUAL,ENTERTAINMENT,15,39.0,3,0,27
2089776,4140297,12182000,STAN,INDIVIDUAL,SPORTS,125,60.0,2,0,34
248098,10874323,10270814,NETFLIX,INDIVIDUAL,SPORTS,113,,1,0,0
729812,20301827,11901695,STAN,INDIVIDUAL,ENTERTAINMENT,43,78.0,2,0,0
1515731,1388813,6649343,AMAZON PRIME,INDIVIDUAL,ENTERTAINMENT,124,76.0,2,0,8
893195,17210911,20311334,STAN,INDIVIDUAL,ENTERTAINMENT,67,40.0,2,0,14
1094209,8534493,11833643,NETFLIX,INDIVIDUAL,SPORTS,103,78.0,1,0,0
64941,14191253,2615366,NETFLIX,INDIVIDUAL,SPORTS,113,52.0,1,0,0
