,ACCT_ID_M,CHURN_DATE,CHURNED,CHURNED_30,CHURNED_90
1085553,22929283,,0,0,0
199699,16923669,,0,0,0
533407,25124129,,0,0,0
334221,22430133,,0,0,0
1529002,16775871,,0,0,0
1942451,19428623,,0,0,0
2029032,22329655,,0,0,0
2271418,22043987,,0,0,0
643687,24457111,,0,0,0
2017545,12603829,,0,0,0
600741,18721949,,0,0,0
1992068,25081015,,0,0,0
1890867,23951501,,0,0,0
1334325,25611,,0,0,0
2191195,20935303,2022-06-30 00:00:00,0,0,0
336114,13367279,,0,0,0
784017,1916627,,0,0,0
238843,25279589,,0,0,0
107151,21566581,,0,0,0
1790595,17234643,,0,0,0
2139404,18212205,,0,0,0
1871588,20569573,,0,0,0
96869,8479857,,0,0,0
1015170,13608083,,0,0,0
663114,23313891,,0,0,0
991478,24081651,,0,0,0
1678027,9756493,,0,0,0
1989637,14665065,,0,0,0
2273536,11811235,,0,0,0
1122915,24960473,,0,0,0
439386,19011379,,0,0,0
1421984,2471791,,0,0,0
1032697,9281369,,0,0,0
1937591,10961245,,0,0,0
517517,24296747,,0,0,0
843985,25019341,,0,0,0
141591,4383509,,0,0,0
1849637,12682623,,0,0,0
856831,2717449,,0,0,0
700235,23187407,,0,0,0
928942,5918053,2017-01-06 00:00:00,0,0,0
488486,2164361,,0,0,0
1020220,18519773,,0,0,0
1402676,20985715,,0,0,0
1742005,20485299,,0,0,0
1792364,1149693,,0,0,0
1048540,24850975,,0,0,0
2039727,21984361,,0,0,0
1973259,8495313,,0,0,0
1394858,23622913,,0,0,0
2265833,21818831,,0,0,0
1665581,12449081,,0,0,0
1650748,25114557,,0,0,0
409276,7696601,,0,0,0
860608,13717743,,0,0,0
1564726,17705781,,0,0,0
1682997,15128219,,0,0,0
108244,17255411,,0,0,0
17873,12877039,,0,0,0
1318326,18002299,,0,0,0
2123860,2368707,,0,0,0
406068,23102297,,0,0,0
2093102,23807827,,0,0,0
307593,12034385,,0,0,0
1781187,23923525,,0,0,0
803090,727753,,0,0,0
682124,23424879,,0,0,0
495375,24972959,,0,0,0
1345156,22074891,,0,0,0
770674,24190179,,0,0,0
908245,1871513,,0,0,0
2113973,25288171,,0,0,0
1214400,20218835,,0,0,0
740982,5654395,,0,0,0
1258213,24426267,,0,0,0
264974,619237,,0,0,0
1449173,23819549,,0,0,0
1324299,25499465,,0,0,0
1895944,18594437,,0,0,0
1372152,16425831,,0,0,0
2230447,6853479,,0,0,0
1056937,16659535,,0,0,0
2044602,18166483,,0,0,0
1263858,13199757,,0,0,0
458776,23543663,,0,0,0
1198896,19486239,,0,0,0
1468857,24156683,,0,0,0
444827,25037877,,0,0,0
1739146,3847423,,0,0,0
982698,13910649,,0,0,0
2335918,4100733,,0,0,0
1548024,11236237,,0,0,0
166120,23460371,,0,0,0
2019823,24523107,,0,0,0
2007721,13270849,,0,0,0
1711462,17757231,,0,0,0
238091,4373403,,0,0,0
1262864,15441355,,0,0,0
708758,21523547,,0,0,0
365821,15703617,,0,0,0
88961,10405207,,0,0,0
1463084,10066283,,0,0,0
1728823,23307457,,0,0,0
1891246,25008181,,0,0,0
1457637,16102541,,0,0,0
1984918,24366127,,0,0,0
22951,24025441,,0,0,0
1200741,18999993,,0,0,0
1436324,727341,,0,0,0
555970,22345443,,0,0,0
48074,20787127,,0,0,0
636567,20796957,,0,0,0
2024418,14604161,,0,0,0
2185528,24531711,,0,0,0
158307,12207735,,0,0,0
1534578,4720361,,0,0,0
1668169,4508117,,0,0,0
2280520,5385377,,0,0,0
1429086,7501633,2022-04-03 00:00:00,0,0,0
2275352,25554941,,0,0,0
101953,2730641,,0,0,0
16387,9390811,,0,0,0
619391,23373327,,0,0,0
1494884,10277513,,0,0,0
2302908,18382269,,0,0,0
1038421,19908015,,0,0,0
1781046,25304149,,0,0,0
859590,16393623,,0,0,0
558286,8860637,,0,0,0
296299,25327549,,0,0,0
1930689,22794215,,0,0,0
723140,8225131,,0,0,0
843742,23244155,,0,0,0
2227703,20417349,,0,0,0
892491,17363451,,0,0,0
2054829,25328415,,0,0,0
1775246,18104875,,0,0,0
930956,19487203,,0,0,0
2284879,22007763,,0,0,0
1129221,9440411,,0,0,0
99157,4045361,,0,0,0
384789,23304029,,0,0,0
806196,22302525,,0,0,0
1439546,14932039,,0,0,0
42707,17976035,,0,0,0
248717,16631691,,0,0,0
582080,1201701,,0,0,0
2103507,14386883,,0,0,0
2229477,10853843,,0,0,0
210918,13278153,,0,0,0
2133776,20622801,,0,0,0
1104694,23025749,,0,0,0
2250552,14155083,,0,0,0
1773293,1950287,,0,0,0
1025437,18063871,,0,0,0
2146803,23513727,,0,0,0
316175,24473987,,0,0,0
1020853,4881779,,0,0,0
1857381,25245645,,0,0,0
136896,19936623,,0,0,0
1933195,6248133,2017-02-07 00:00:00,0,0,0
1223141,19496481,,0,0,0
886627,8541415,,0,0,0
2220399,24689187,,0,0,0
1019390,8183945,,0,0,0
233547,4214635,,0,0,0
254975,18180363,,0,0,0
572778,5506981,,0,0,0
526080,22694859,,0,0,0
1992449,20670013,,0,0,0
2204733,23745855,,0,0,0
221955,24125103,,0,0,0
1411278,22298351,,0,0,0
824827,22367679,,0,0,0
841546,13673955,,0,0,0
1113306,14355659,,0,0,0
151337,25344371,,0,0,0
650310,4716721,,0,0,0
342384,22109163,,0,0,0
1190176,19973147,,0,0,0
655973,9709827,,0,0,0
1228797,22135455,,0,0,0
1496689,13840609,,0,0,0
750777,18082687,,0,0,0
2305209,10010911,,0,0,0
2318935,310799,2022-09-14 00:00:00,1,0,1
1125673,14862607,,0,0,0
1898568,7888825,,0,0,0
918255,24410653,,0,0,0
558046,19081749,,0,0,0
1826379,17265867,,0,0,0
694705,18588279,,0,0,0
1535459,19899997,,0,0,0
1858356,17510625,,0,0,0
790796,25352059,,0,0,0
4175,23129029,,0,0,0
156867,19923551,,0,0,0
1923132,559351,,0,0,0
238501,23283747,,0,0,0
111052,24307437,,0,0,0
1461455,18363667,,0,0,0
2274667,20564349,,0,0,0
966879,3015515,,0,0,0
