,ACCT_ID_M,DAYS_LAST_LOGIN,NUM_LOGINS_6M,NUM_WKDAY_LOGIN_6M,NUM_WKEND_LOGIN_6M,Measures.Call_Duration_mean,Measures.Call_Duration_min,Measures.Call_Duration_max,DEPT_Retention Inbound,DEPT_Retention Outbound,MAX_RING_DURATION_6M,MAX_TALK_DURATION_3M,NUM_INTERACTION_3M,EMAIL_T1_ISP_FLG,EMAIL_T2_ISP_FLG,EMAIL_WEBMAIL_FLG
199699,16923669,1749.0,0,0,0,,,,,,,,0,0,0,1
533407,25124129,2.0,4,4,0,,,,,,4.0,2409.0,2,0,0,1
334221,22430133,15.0,3,3,0,,,,,,,,4,0,0,1
1942451,19428623,98.0,2,2,0,,,,,,,,0,0,0,1
2271418,22043987,841.0,0,0,0,,,,,,,,1,0,1,0
643687,24457111,79.0,4,4,0,,,,,,,,4,0,0,1
2017545,12603829,206.0,0,0,0,241.0,241.0,241.0,0.0,0.0,,,0,0,0,1
600741,18721949,,0,0,0,,,,,,,,0,0,0,1
1992068,25081015,,0,0,0,942.0,942.0,942.0,0.0,0.0,,,1,0,0,1
1890867,23951501,,0,0,0,,,,,,,,0,0,0,0
1334325,25611,60.0,4,2,2,,,,,,,,0,0,0,1
2191195,20935303,114.0,4,4,0,,,,,,,,2,0,0,1
336114,13367279,,0,0,0,,,,,,,,2,0,0,0
784017,1916627,878.0,0,0,0,,,,,,,,7,1,0,0
238843,25279589,,0,0,0,,,,,,,,2,0,0,1
107151,21566581,878.0,0,0,0,,,,,,,,0,0,0,1
642710,24828417,128.0,3,3,0,,,,,,,,1,0,0,1
1790595,17234643,,0,0,0,,,,,,,,1,0,0,1
2139404,18212205,34.0,12,10,2,,,,,,,,2,0,0,1
1871588,20569573,10.0,6,6,0,,,,,,,,5,0,0,1
663114,23313891,10.0,23,23,0,613.8,9.0,1700.0,0.0,0.0,,,5,0,0,1
1678027,9756493,,0,0,0,1589.0,1589.0,1589.0,0.0,0.0,,,1,0,0,0
1989637,14665065,326.0,0,0,0,997.0,997.0,997.0,0.0,0.0,,,0,0,0,1
2273536,11811235,56.0,1,1,0,347.0,309.0,385.0,0.0,0.0,3.0,,2,0,0,1
1122915,24960473,10.0,4,4,0,421.66666666666674,163.0,860.0,0.0,0.0,,,1,0,0,1
439386,19011379,198.0,0,0,0,,,,,,,,6,0,0,0
1421984,2471791,63.0,1,1,0,,,,,,,,0,0,0,0
1032697,9281369,,0,0,0,,,,,,,,0,0,0,0
517517,24296747,2.0,14,5,9,34.5,25.0,44.0,0.0,2.0,,,6,0,0,1
843985,25019341,,0,0,0,,,,,,,,6,0,0,0
141591,4383509,12.0,2,0,2,,,,,,,,0,0,0,1
856831,2717449,31.0,6,6,0,,,,,,,,8,0,0,1
700235,23187407,45.0,2,2,0,,,,,,,,4,0,0,1
734661,24974935,97.0,1,1,0,959.0,959.0,959.0,0.0,1.0,,,1,0,0,1
928942,5918053,,0,0,0,,,,,,,,0,0,0,0
488486,2164361,952.0,0,0,0,,,,,,,,1,0,0,1
1020220,18519773,10.0,1,1,0,,,,,,,,1,0,0,1
1742005,20485299,,0,0,0,,,,,,,,2,0,0,1
1792364,1149693,,0,0,0,,,,,,,,1,0,0,0
1048540,24850975,109.0,14,12,2,1055.0,33.0,2077.0,0.0,0.0,,,0,0,0,1
2039727,21984361,425.0,0,0,0,,,,,,,,4,0,0,1
1973259,8495313,1976.0,0,0,0,,,,,,,,0,0,0,1
1394858,23622913,299.0,0,0,0,756.5,607.0,906.0,0.0,0.0,,,3,0,0,1
2265833,21818831,495.0,0,0,0,,,,,,,,2,0,0,1
1665581,12449081,16.0,13,12,1,,,,,,,,2,0,0,1
1650748,25114557,,0,0,0,334.6,21.0,961.0,0.0,0.0,,,0,0,0,1
409276,7696601,195.0,0,0,0,350.0,350.0,350.0,0.0,0.0,,,1,0,0,0
1814872,21998191,84.0,5,3,2,,,,,,,,1,0,0,1
860608,13717743,,0,0,0,,,,,,,,0,0,0,0
1564726,17705781,59.0,4,4,0,,,,,,,,1,0,0,0
1682997,15128219,,0,0,0,,,,,,,,1,0,0,0
108244,17255411,,0,0,0,,,,,,,,2,0,0,0
17873,12877039,448.0,0,0,0,,,,,,,,5,0,0,1
1318326,18002299,375.0,0,0,0,,,,,,,,2,0,0,1
2123860,2368707,,0,0,0,,,,,,,,1,0,0,1
406068,23102297,,0,0,0,217.0,217.0,217.0,0.0,0.0,,,0,0,0,0
2093102,23807827,8.0,12,8,4,,,,,,,,1,0,0,1
307593,12034385,,0,0,0,,,,,,,,1,0,0,0
1781187,23923525,37.0,3,3,0,208.0,208.0,208.0,0.0,0.0,,,4,0,0,0
803090,727753,,0,0,0,,,,,,,,4,0,0,1
682124,23424879,191.0,0,0,0,,,,,,,,1,0,0,0
495375,24972959,,0,0,0,463.66666666666674,41.0,1131.0,0.0,0.0,4.0,787.0,6,0,0,1
1345156,22074891,7.0,8,8,0,,,,,,,,2,0,0,1
770674,24190179,182.0,4,4,0,,,,,,,,0,0,0,1
908245,1871513,,0,0,0,,,,,,,,0,0,0,0
1214400,20218835,425.0,0,0,0,1179.0,1179.0,1179.0,0.0,0.0,,,1,0,0,1
740982,5654395,55.0,1,1,0,,,,,,,,0,0,0,1
1258213,24426267,,0,0,0,,,,,,,,1,0,0,0
264974,619237,335.0,0,0,0,,,,,,,,1,0,0,1
1449173,23819549,42.0,1,1,0,,,,,,,,1,0,0,1
1324299,25499465,,0,0,0,,,,,,,,0,1,0,0
1895944,18594437,,0,0,0,,,,,,,,0,0,0,0
1372152,16425831,,0,0,0,,,,,,,,1,0,0,1
2230447,6853479,6.0,23,21,2,,,,,,,,4,0,0,1
1056937,16659535,,0,0,0,,,,,,,,2,0,0,0
2044602,18166483,,0,0,0,,,,,,,,1,0,0,0
1263858,13199757,58.0,1,1,0,,,,,,776.0,520.0,2,0,1,0
458776,23543663,19.0,10,8,2,,,,,,,,5,0,0,1
1198896,19486239,344.0,0,0,0,,,,,,,,0,0,0,1
1468857,24156683,22.0,5,5,0,,,,,,,,0,0,0,0
444827,25037877,55.0,5,5,0,93.0,93.0,93.0,0.0,0.0,2.0,,4,0,0,1
1739146,3847423,51.0,3,3,0,,,,,,,,1,0,0,1
982698,13910649,492.0,0,0,0,,,,,,,,2,0,0,1
2335918,4100733,,0,0,0,,,,,,,,0,0,0,0
1548024,11236237,,0,0,0,,,,,,,,1,0,0,0
166120,23460371,53.0,2,0,2,,,,,,,,1,1,0,0
2019823,24523107,64.0,8,6,2,,,,,,,,0,0,0,1
2007721,13270849,,0,0,0,,,,,,,,0,0,0,0
1711462,17757231,6.0,1,1,0,,,,,,,,3,0,0,1
238091,4373403,1634.0,0,0,0,,,,,,,,1,0,0,1
1262864,15441355,188.0,0,0,0,,,,,,,,2,0,0,1
708758,21523547,948.0,0,0,0,,,,,,,,1,0,0,1
365821,15703617,372.0,0,0,0,,,,,,,,0,0,0,0
88961,10405207,,0,0,0,,,,,,,,1,0,0,0
1463084,10066283,90.0,2,2,0,,,,,,,,2,0,0,1
1728823,23307457,17.0,4,4,0,,,,,,,,0,0,0,1
1891246,25008181,86.0,4,2,2,434.33333333333326,292.0,563.0,0.0,0.0,,,6,0,0,1
1457637,16102541,,0,0,0,,,,,,,,0,0,0,0
1984918,24366127,,0,0,0,398.25,41.0,798.0,0.0,0.0,,,0,0,1,0
22951,24025441,,0,0,0,,,,,,,,0,0,0,1
1200741,18999993,,0,0,0,,,,,,,,0,0,0,1
1436324,727341,,0,0,0,,,,,,3.0,524.0,2,0,0,0
555970,22345443,359.0,0,0,0,,,,,,,,2,0,0,1
48074,20787127,213.0,0,0,0,,,,,,,,1,0,0,1
2024418,14604161,,0,0,0,,,,,,,,1,0,0,0
