,ACCT_ID_M,DIRECT_DEBIT_FLAG,NUM_PAYMENT_CHALLENGED_6M,NUM_REFUNDS_3M,CHANNEL_PAY_APOST_12M,CHANNEL_PAY_BPAY_12M,CHANNEL_PAY_BPOINT_12M,CHANNEL_PAY_DD_SAVING_12M,CHANNEL_PAY_DD_CREDIT_12M
1085553,22929283,0,0,0,3,0,1,0,0
199699,16923669,0,0,0,0,5,0,0,0
533407,25124129,0,0,0,0,0,0,0,0
334221,22430133,1,0,0,0,0,0,2,0
1529002,16775871,1,0,0,0,0,0,4,0
1942451,19428623,0,0,0,0,0,4,0,0
2029032,22329655,0,0,0,0,0,5,0,4
2271418,22043987,0,0,0,0,1,3,0,0
643687,24457111,0,0,0,0,0,2,0,0
2017545,12603829,1,0,0,0,0,0,0,0
600741,18721949,0,0,0,0,6,0,0,0
908817,17475731,0,0,0,0,8,0,0,0
1890867,23951501,0,0,0,0,3,0,0,0
2191195,20935303,0,0,0,0,0,2,0,0
336114,13367279,0,0,0,7,0,0,0,0
784017,1916627,0,0,0,0,4,0,0,0
107151,21566581,0,0,0,0,0,4,0,0
1790595,17234643,0,0,0,0,0,6,0,0
2139404,18212205,0,0,0,0,2,9,0,0
1015170,13608083,0,0,0,0,12,0,0,0
663114,23313891,0,0,0,0,0,17,0,0
991478,24081651,0,0,0,0,3,0,0,0
1678027,9756493,0,0,0,4,0,0,0,0
1989637,14665065,1,0,0,0,0,0,0,4
2273536,11811235,1,0,0,0,0,0,26,0
439386,19011379,0,0,0,0,50,1,0,0
1421984,2471791,1,0,0,0,4,0,0,0
1032697,9281369,0,0,0,3,0,1,0,0
1937591,10961245,1,0,0,0,2,2,21,0
517517,24296747,0,0,0,0,3,0,0,0
843985,25019341,0,0,0,1,0,0,0,0
141591,4383509,0,0,0,6,0,0,0,0
1849637,12682623,0,0,0,0,4,0,0,0
856831,2717449,1,0,0,0,0,0,39,0
700235,23187407,0,0,0,0,0,4,0,0
928942,5918053,0,0,0,7,0,0,0,0
1020220,18519773,0,0,0,0,4,0,0,0
1742005,20485299,0,0,0,0,6,0,0,0
1792364,1149693,0,0,0,0,0,0,0,0
1048540,24850975,0,0,0,0,0,1,0,0
1973259,8495313,1,0,0,0,0,0,4,0
1394858,23622913,1,0,0,0,0,1,0,3
2265833,21818831,0,0,0,0,0,2,8,0
1665581,12449081,0,0,0,0,0,6,0,0
409276,7696601,1,0,0,0,0,2,0,14
1814872,21998191,0,0,0,0,4,0,0,0
860608,13717743,0,0,0,0,4,0,0,0
1564726,17705781,0,0,0,0,0,4,0,0
1682997,15128219,1,0,0,0,0,0,26,0
108244,17255411,1,0,0,0,0,0,26,0
17873,12877039,0,0,0,0,0,6,0,0
1318326,18002299,0,0,0,4,0,0,0,0
2123860,2368707,0,0,0,0,0,3,0,0
406068,23102297,0,0,0,0,3,0,0,0
307593,12034385,0,0,0,0,0,2,0,0
1781187,23923525,1,0,0,0,0,1,0,2
803090,727753,0,0,0,0,0,4,0,0
682124,23424879,1,0,0,0,0,0,0,2
1345156,22074891,0,0,0,0,0,4,0,0
770674,24190179,0,0,0,0,3,0,0,0
908245,1871513,0,0,0,0,4,0,0,0
2113973,25288171,0,0,0,0,1,0,0,0
1214400,20218835,1,0,0,0,0,0,4,0
1258213,24426267,0,0,0,5,0,0,0,0
264974,619237,0,0,0,0,4,0,0,0
1449173,23819549,0,0,0,0,0,4,0,0
1324299,25499465,0,0,0,0,0,0,0,0
1895944,18594437,0,0,0,4,0,0,0,0
1372152,16425831,0,0,0,0,6,0,0,0
2230447,6853479,0,0,0,0,6,1,0,0
2044602,18166483,0,0,0,3,1,0,0,0
1263858,13199757,0,0,0,13,0,0,0,0
458776,23543663,0,0,0,0,3,0,0,0
1198896,19486239,0,0,0,0,4,0,0,0
1468857,24156683,0,0,0,0,3,0,0,0
1739146,3847423,0,0,0,0,26,0,0,0
982698,13910649,1,0,0,0,0,0,27,0
2335918,4100733,0,0,0,1,1,0,0,0
1548024,11236237,0,0,0,6,0,0,0,0
166120,23460371,1,0,0,0,1,3,0,0
2019823,24523107,0,0,0,0,0,2,0,0
1711462,17757231,0,0,0,0,0,3,0,0
238091,4373403,0,0,0,0,0,0,0,0
1262864,15441355,0,0,0,0,3,0,0,0
708758,21523547,0,0,0,0,4,0,0,0
88961,10405207,0,0,0,0,4,0,0,0
1728823,23307457,0,0,0,0,2,2,0,0
1891246,25008181,1,0,0,0,0,0,2,0
1457637,16102541,0,0,0,0,4,0,0,0
1984918,24366127,1,0,0,0,0,0,0,3
22951,24025441,0,0,0,0,4,0,0,0
1200741,18999993,0,0,0,0,6,0,0,0
1436324,727341,0,0,0,0,0,0,0,0
555970,22345443,0,0,0,0,4,0,0,0
636567,20796957,1,0,0,0,0,0,0,4
2024418,14604161,0,0,0,0,6,0,0,0
2185528,24531711,0,0,0,0,0,2,0,0
158307,12207735,1,0,0,0,0,0,0,4
1534578,4720361,1,0,0,0,0,0,0,6
1668169,4508117,0,0,0,0,0,0,0,0
2280520,5385377,0,0,0,0,6,0,0,0
2275352,25554941,0,0,0,0,0,0,0,0
101953,2730641,0,0,0,0,0,0,1,0
16387,9390811,1,0,0,0,0,0,22,0
619391,23373327,0,0,0,0,3,0,0,0
994261,24575919,0,0,0,0,2,1,0,0
1494884,10277513,0,0,0,4,0,0,0,0
2302908,18382269,0,0,0,0,4,0,0,0
1781046,25304149,0,0,0,0,0,0,0,0
859590,16393623,1,0,0,0,0,0,26,0
296299,25327549,0,0,0,0,0,0,0,0
1930689,22794215,0,0,0,0,4,0,0,0
723140,8225131,0,0,0,6,0,0,0,0
843742,23244155,1,0,0,0,0,0,6,0
1129735,3659917,0,0,0,0,3,1,0,0
2227703,20417349,0,0,0,4,0,0,0,0
1775246,18104875,0,0,0,0,0,0,2,0
1129221,9440411,1,0,0,0,0,0,0,4
99157,4045361,0,0,0,6,0,0,0,0
806196,22302525,0,0,0,0,4,0,0,0
582080,1201701,0,0,0,1,0,3,0,0
2103507,14386883,0,0,0,0,1,3,0,0
210918,13278153,0,0,0,0,6,0,0,0
2133776,20622801,0,0,0,0,5,0,2,0
1104694,23025749,0,0,0,0,0,5,0,0
1773293,1950287,0,0,0,0,4,0,0,0
2146803,23513727,1,0,0,0,0,1,0,0
316175,24473987,0,0,0,0,2,1,0,0
1020853,4881779,1,0,0,0,0,0,0,4
1933195,6248133,0,0,0,0,4,0,0,0
1223141,19496481,0,0,0,0,4,0,0,0
886627,8541415,0,0,0,0,0,4,0,0
1019390,8183945,1,0,0,0,0,0,2,0
254975,18180363,1,0,0,0,0,0,0,4
572778,5506981,1,0,0,0,0,0,0,4
526080,22694859,0,0,0,0,0,0,0,0
2204733,23745855,0,0,0,0,0,4,0,0
221955,24125103,0,0,0,0,3,0,0,0
1411278,22298351,1,0,0,0,0,0,0,4
824827,22367679,1,0,0,0,0,0,6,0
1113306,14355659,0,0,0,5,1,0,0,0
650310,4716721,1,0,0,0,0,0,5,0
342384,22109163,0,0,0,0,2,0,0,0
1190176,19973147,1,0,0,0,0,0,0,4
655973,9709827,0,0,0,0,4,0,0,0
