,ACCT_ID_M,PREMISE_POSTCODE
1085553,22929283,2154
199699,16923669,2020
1942451,19428623,2250
2271418,22043987,2321
643687,24457111,2113
600741,18721949,3223
1890867,23951501,3429
784017,1916627,3805
238843,25279589,3174
319931,12203941,3875
107151,21566581,2017
642710,24828417,2089
2139404,18212205,2560
96869,8479857,2043
663114,23313891,4301
1122915,24960473,2071
439386,19011379,2340
1032697,9281369,3550
517517,24296747,3038
843985,25019341,3153
141591,4383509,3106
856831,2717449,3139
734661,24974935,2617
1020220,18519773,2174
1742005,20485299,3201
1048540,24850975,2114
2039727,21984361,3750
1665581,12449081,3805
1650748,25114557,2125
409276,7696601,3340
1814872,21998191,2138
860608,13717743,2048
1682997,15128219,2257
108244,17255411,2663
1318326,18002299,3174
2123860,2368707,3951
2093102,23807827,3122
307593,12034385,2137
1781187,23923525,2077
682124,23424879,2009
770674,24190179,3138
908245,1871513,3204
2113973,25288171,3500
1214400,20218835,2902
1895944,18594437,4074
2230447,6853479,3950
1056937,16659535,3088
1263858,13199757,3073
458776,23543663,2785
1198896,19486239,2102
444827,25037877,2259
982698,13910649,2745
2335918,4100733,3038
2019823,24523107,2144
2007721,13270849,3106
238091,4373403,5125
1262864,15441355,2142
708758,21523547,2118
365821,15703617,2021
88961,10405207,2287
1728823,23307457,2287
1891246,25008181,2031
1457637,16102541,4217
555970,22345443,3183
158307,12207735,2283
1668169,4508117,5575
2280520,5385377,3824
619391,23373327,2040
994261,24575919,2170
1781046,25304149,3174
859590,16393623,2211
1930689,22794215,3059
723140,8225131,3021
843742,23244155,3076
2227703,20417349,3923
892491,17363451,3055
2054829,25328415,3978
1775246,18104875,3550
930956,19487203,3805
1129221,9440411,3064
1439546,14932039,2021
42707,17976035,2280
582080,1201701,2200
2229477,10853843,2199
1104694,23025749,3073
2250552,14155083,2113
1773293,1950287,2042
1025437,18063871,3300
316175,24473987,2565
1020853,4881779,2024
1223141,19496481,2067
886627,8541415,2750
1019390,8183945,3228
233547,4214635,2000
526080,22694859,2527
1992449,20670013,2299
1411278,22298351,2145
841546,13673955,2250
1113306,14355659,3073
151337,25344371,3170
650310,4716721,2200
655973,9709827,3400
1228797,22135455,2500
1496689,13840609,2162
750777,18082687,5072
1379454,24810619,2011
1125673,14862607,2066
558046,19081749,3305
694705,18588279,3931
1131542,12747341,2060
1858356,17510625,2017
4175,23129029,3170
156867,19923551,3754
1461455,18363667,3016
966879,3015515,5352
1276636,19184659,2333
1297804,21193715,3169
397488,1060399,2153
363298,21463673,2263
2256966,22923563,2227
2121907,12950787,2795
1602438,7553269,3215
1246071,6138005,3174
592668,1356883,3064
1031635,25376981,3078
1738032,7190251,2295
1909405,25130643,3021
1471739,23832157,3135
2076491,24622855,3059
1202913,3500469,2029
2180462,19076635,2324
1291582,6376935,2283
1570445,2404589,2322
891473,11536187,2122
2087612,19945357,2769
263688,19732617,2444
1678652,3029937,2153
815796,6138365,3228
1720118,17092425,2073
977422,21691839,3104
2014953,17911823,3355
1779027,21321243,2444
943240,13277199,2142
1035575,6441365,3840
579926,3080617,3825
187417,23461957,3130
2089776,4140297,3218
248098,10874323,2299
1094209,8534493,2070
611445,16140715,3196
389315,23260413,2048
592391,6712885,2530
823188,1040917,2075
1831674,14580899,3041
1643356,18234319,3029
1547458,21290507,4341
211216,19856813,2565
1942475,13404949,2067
780207,21798999,2170
995149,25406177,2450
696343,18963311,3875
1875185,22757575,3169
248634,19548891,3977
481752,19369417,5355
2179283,22649435,3658
1783553,25099709,2229
494926,1078949,2195
1914020,21536791,2075
2188867,9277737,2281
1889942,23997825,3765
2104101,15243105,2028
369279,25184357,3943
1583036,17762409,2565
162855,11206349,2529
1540917,24130097,2144
441005,25031251,5087
386026,24733935,2000
598661,18123487,3875
336228,9883559,3030
905356,14408735,3121
2148684,24892315,2016
628211,23810473,3978
492602,14087751,3350
2343389,16766865,3939
563875,17170873,2126
879641,4988929,3212
863927,23140547,3224
855419,20915895,3058
650682,12556873,2048
304653,2347811,2148
1991714,20574091,2010
1323875,24557789,5012
1922512,18658347,2020
1431415,23208853,2076
1212532,25588925,2073
1860419,9613837,3188
874825,18805287,3173
2160959,17301055,3064
812395,12309267,3030
1228926,25264837,2769
62143,23371099,3923
1594942,1983687,2203
585997,15265769,3064
2151135,24542145,3175
1293914,40061,3078
1704239,511,3135
2197775,11531865,2329
82544,22467175,3185
55708,25609581,2602
390902,3027799,3101
1109383,3245323,3034
37744,23138183,3204
1350644,19638389,4510
857593,20608737,2320
1057424,16900919,2193
1281833,18597021,2204
883374,24110635,2138
499725,24801757,3016
2238490,23490129,2287
1975405,16052931,3158
2291221,12733559,2111
1946765,23720383,3051
1251348,25276897,3336
468701,3198247,3076
117346,8820661,2036
2322334,5662911,2195
676743,17627789,3206
737280,24964831,3630
288448,22520225,3910
1565754,14689273,5025
1911495,22823771,2000
1109008,19140855,3806
1486735,24444517,2620
682957,25043865,2008
621058,20560329,2251
813101,21340379,3280
1537827,1104349,3217
479972,25327407,2170
110403,23413427,2210
1715954,4466455,2145
304127,15938445,2795
621444,15376235,3840
1486076,24392727,2763
2182198,21522387,4055
1338620,23711125,2604
2220837,25177177,4221
1511935,11176491,2264
617178,11269939,3136
606499,23903273,3977
492685,5468355,2050
2160141,22606311,3103
514887,24829459,3621
1181538,10126309,3400
1387832,21089433,3171
1139985,24768399,3690
1285393,19174737,5047
369342,23141825,3163
1451061,25164941,4068
1294124,22733629,3023
65044,17487093,2315
2225135,19603245,2173
1614786,25361249,2064
91655,23123811,2527
2039003,23436047,2428
1720763,25317833,3978
260297,25089151,2025
933096,10565829,3752
1451338,22850797,2204
628373,23591689,3871
167200,24468075,2450
394923,10348379,5108
1296158,18427947,3064
207540,21827067,2165
1303333,25129631,2323
1664380,21852787,2258
244590,21893321,3280
1639097,12872127,2548
136627,16777683,2019
2277000,23942393,2000
2179520,14644043,3825
2200518,21131901,2140
1113013,19960409,3277
157270,2506419,2527
1795100,19326505,2000
1138777,25430103,3977
1705272,3219275,5017
1955221,22382365,3802
1392146,21783485,2155
751426,10043951,2478
1144098,12200853,2107
234322,14184529,2304
741040,10489867,2069
1255322,14594155,5107
1113825,2051149,3377
225157,24009721,2282
1967181,23394547,2082
1079888,4200729,2032
2034038,8852501,2527
1961691,14671635,2233
2154233,1358465,2280
716646,23268427,2320
880808,24988987,2088
1928442,23543471,3057
1752712,8492951,3337
1115578,4417089,3840
1081831,13416173,2261
65787,18224399,2068
294595,24418873,3550
1148678,4230265,2257
311484,21984193,2296
834584,601767,3046
942339,5859975,3976
1880484,3095835,2287
1193193,25211449,3141
2183829,23614469,2360
613022,22078433,2066
2319009,9134429,5024
2126532,1702759,2250
1252755,2566587,2262
1880012,15451085,2259
2299593,13742299,3429
393184,19596543,2198
1099932,8731303,3076
726091,20670709,3216
338863,19666891,3030
1304613,24032649,3021
1394812,23839175,3019
956121,24432175,2029
1316668,21046293,3021
1663299,7645051,4113
996167,22779215,2196
358877,1335355,3300
1176424,25574351,2210
522652,8829551,2209
1838139,24109867,2259
1307787,20799747,2769
1645833,3719855,3165
1259789,18849821,2111
1039625,21523771,4216
1794060,13908367,2333
1407898,12869945,2760
2076707,24625837,3850
213907,7984041,2080
722371,9296427,2505
70221,15924083,3350
764300,24062577,2258
1682106,13135839,2220
1831968,12466075,2573
554482,23588139,3136
908783,22107127,3216
1964330,24427453,2041
2282308,4573867,2632
1032509,4514623,2325
1477668,13461985,3844
608074,16921153,2914
712340,13755867,3199
1844783,21322147,3757
1145864,20607505,3022
2225608,12333697,2076
2145499,22613177,3106
2243381,7018809,2107
526120,13426673,2137
1907543,11001611,3074
12086,22063865,4300
852636,6574077,3149
2196551,22527167,2023
2178283,1346181,2026
379175,20658365,2257
2120101,8203689,3161
184655,24077767,2117
357568,6955541,2290
882918,25440085,3128
1591195,12100357,2044
363451,8935295,3070
1317597,14808821,2765
17786,19403383,2500
1334021,8712395,3429
2120978,20984241,3550
1967334,25214869,2330
2123132,11060985,2220
2268338,12908185,2162
669484,18552903,2752
2017034,15866861,3220
2182816,19333641,2216
923316,22332437,3630
734487,24790601,2033
1367567,12969303,3074
1386475,11774251,2220
1186017,7816969,3020
940620,16261687,2024
1906149,21176489,2200
1244021,8787943,3136
139085,676945,3054
1294164,5489457,3170
844903,23845455,3977
703390,1794203,3137
970766,18711349,3194
188065,24905603,3144
1691293,23475697,3750
1674076,25268853,3081
2003486,24795507,2680
102416,19414245,2256
1863194,4638193,3950
352626,23859667,3012
1093370,16415341,2571
494735,21688813,2192
1841841,10269161,2090
1419844,20264009,2035
2038362,23128813,3037
1608096,830999,3460
1238825,15443011,2221
270027,19059173,3083
196202,22433127,2529
1344764,5750015,3975
1098340,16843607,3016
619674,2424371,5108
1435826,625747,2121
1675031,3895949,2040
1349756,3791951,2168
125097,3804113,2137
1807335,6316945,2226
2049225,5713163,2111
2182100,8302989,3154
11726,8558605,2750
867012,24501987,2011
2223639,24757419,2560
1715350,1875705,2018
1542304,23408299,2011
1845614,7746797,3400
2307988,20956671,2048
228782,2219911,2287
1674203,24532793,3429
1648624,20962515,3033
332583,23310863,2527
701010,24125139,3095
2258451,23012419,3965
1606023,4449655,3556
1957144,8978775,3280
1905849,22160243,2065
98851,3332217,3401
1651613,20706661,2042
970628,16486495,2193
539435,16234611,2077
1657064,652073,5108
989076,13428495,2073
47468,1365079,2154
381069,516675,2767
1580810,24682239,2068
1759316,12426579,3714
2036331,18624495,3192
1777542,7399263,2428
1155046,386093,2075
2163993,19328035,5092
789044,23937179,3335
326882,21731527,2153
986307,6202625,2289
1561558,23583063,2009
2207069,21490857,2223
1932710,22741443,3181
1311258,20799291,3712
708555,7696243,2099
2212709,20610425,2039
1750142,15740351,3922
1782333,25593791,2112
321057,18430975,3813
503022,21992531,2304
577705,1498851,2256
218965,14062701,2076
612571,21437027,3217
675931,22718407,2824
1661333,18143245,2262
291394,22158631,2212
1669983,24251181,2540
97817,6151981,2208
415525,2637307,3141
979407,18671247,3217
130769,24446771,2117
1272082,21299753,2035
583617,20246697,4567
1398290,25009047,3550
550643,23190891,2107
1237487,591985,3250
1413511,23827403,3818
2297950,25528135,2015
716406,25110263,2770
1154256,9988473,3995
1897253,20618031,4217
1364876,17866893,2620
908495,16780667,2140
581709,21002215,3752
1158806,25572227,2064
2141700,21090965,2161
2313611,23305395,5087
75533,22970463,2113
484454,8159509,3437
187475,8524611,2261
1418348,17830977,3915
842558,8779339,2320
2033335,20063505,2011
859096,21259135,2303
492721,5166703,3140
682421,23366299,2200
1237634,20961823,3182
775029,5918463,3006
745566,19563551,2173
1283271,19357953,2820
777192,20359461,2257
746149,22690557,3690
2051442,1244091,2280
1636908,24273217,2066
774397,25252639,2167
593587,13818985,2487
1615210,24270287,4557
577321,14317865,3747
653911,21276449,3154
1821889,13165245,3026
338603,6012815,5050
1977708,4778733,2487
1561809,23929481,2323
136496,17532233,3121
1852286,12018243,5085
1041993,20599187,3350
1314528,16085815,3121
98055,18499041,2030
1351453,21841985,3076
2303276,758683,2049
1317705,1690035,3380
1533253,10138555,2760
793910,2758581,2047
46263,18744537,3074
255539,21790253,3072
213545,18291823,2073
1159027,25007891,2287
1125373,14312801,5096
1056170,14259353,2070
423801,22709191,5162
1380008,18587071,2614
883832,22792221,3953
1482272,18360033,2261
1652654,24265033,2611
831096,13666005,3216
1447199,17451471,2060
2105710,19467699,3188
895127,14569671,3214
320273,13873479,3250
333761,25491281,2203
159620,1853699,5007
1243028,13063875,3084
1481757,7855711,4500
392388,516059,2190
1948697,24243203,2145
296974,23641545,3169
1126888,2565223,3150
2075533,12189161,3850
1266416,24126035,2570
1577655,24903637,2148
1825595,15025743,2209
1004481,21693955,2075
1567973,17634213,3153
227707,18583271,2174
1726337,23629863,3690
723296,24646577,3195
2099146,15793919,2042
1012909,23074409,2617
1881638,6393909,2219
644547,23969477,3047
1117366,2514931,2147
1959927,7486467,2141
1402847,1435361,3787
2285815,5869317,2256
29358,12155195,2320
1608212,18288801,2325
362937,20742489,4053
51291,802335,3198
394729,19085099,5114
486289,19686609,2320
1633447,22796015,3691
794389,271521,2251
1247386,25325401,2261
352121,23823121,2572
1161897,24826475,3338
886073,541183,2047
1879973,8678011,3192
403544,25145263,3099
408797,14777541,2333
883865,24279809,2646
1913591,16987841,2099
2102172,3742325,2020
2173751,22120905,2008
1003926,21534133,5092
704184,9155165,3226
2298548,24155499,2218
1876349,25234297,2032
541335,4601327,2220
675929,4341499,3089
799238,1376165,2256
1431127,23491779,3029
2317925,7427325,2218
548128,20728431,2207
641557,5782083,3116
2175197,14198925,2284
693566,5824617,4306
1280403,10275043,2099
809789,23528839,3101
686107,11041953,2103
1419820,21344561,2340
452324,5127439,3020
2199156,12487203,2323
126674,16948245,2290
533124,24776911,3165
2145068,1195575,2206
1248714,24666783,3168
1783273,23311217,3146
55534,25074389,3677
1865148,4595195,2137
198868,13562607,3083
2069910,20747855,3149
1804123,7706451,2261
58081,24803177,2130
1297527,14866307,2099
1211512,24921871,3138
1178970,25330117,2582
428663,2748281,2036
2085102,12339835,3084
900014,23100517,2018
371719,23971741,2016
136881,13761527,3134
10398,16698957,2558
63570,1285555,2320
1640475,6762023,3121
2040360,22737915,3006
2114716,22774281,4208
1472259,1938095,2070
1207740,21496489,2227
2291539,8042249,3066
1517746,22645527,2064
1894917,5240197,3350
21417,25360161,2452
1740098,13765547,2316
454147,10731043,2210
1134309,8291089,2040
2138950,3426523,2291
2029986,16364799,5090
1423485,10596571,3084
2026956,6391315,2119
1333708,21731989,2065
2307275,16029383,2302
1596012,23530787,3754
607995,25311759,2564
1853547,24062593,2612
2097844,15064539,5073
1171179,21472263,2560
1422204,9775965,2101
1223483,18339729,2166
1643993,22795671,3163
2038854,24805737,2067
277784,24360541,3977
2048113,11272179,2768
2117211,8963413,3114
1915569,12281343,2205
3296,23200427,5605
1793782,19723229,2227
1636202,24074011,3350
191910,1371683,2870
1673752,23893697,2750
64689,13805927,2077
1511195,4953201,2071
597929,15642983,3046
552853,25152695,3802
2126419,1247085,2212
1144379,21987217,2122
2101180,13945503,2195
1308937,21888123,2026
895864,17585025,3136
577904,4333169,3084
196385,9010449,2324
1668530,15189615,2250
1533555,13839747,2283
1746724,24341769,2224
1717894,12369113,3806
1278682,22166017,2071
512652,6700549,2234
538726,19543727,2132
142651,17681697,3429
182821,13831549,3195
1672510,24808259,3380
1367209,19085637,3340
2344185,22211083,2456
1959940,11164647,3037
1682706,17588001,3976
1927655,25112271,3869
2292216,15718341,2257
1429598,20993141,3042
1279545,7743349,2206
2313380,24105315,2042
1776727,20384903,3156
1503565,24344305,2765
562086,7881897,2199
2237637,21144907,2306
2150320,22730183,2150
1291663,22328813,3216
737691,23994101,3059
2012422,13765355,5043
1093804,4383043,2156
1248143,24302729,2120
1832041,20977983,3215
1440012,9686093,3754
1749355,3630643,2250
150981,22858705,3186
1856547,23604171,3133
1086188,24456779,3128
39135,25441095,2795
1341446,23376245,3797
1195993,25494243,3212
1195347,23869711,3223
2291245,4277419,2768
1747984,25007925,2291
1937760,14117367,3844
1383740,391443,3082
269569,3685025,2234
698616,22630091,2757
1241423,6343639,2089
1401410,11691555,2506
979128,17908505,3175
970211,8403719,2285
1077010,1528349,4021
1873864,22878461,3300
878120,7791171,2720
833905,9080833,3820
272825,7649465,2046
1902868,22657999,5095
400271,21074619,3840
1194964,23652507,3030
443881,25253121,4502
433085,3659103,2067
1280810,1888201,2095
639802,3862945,2028
2207329,15726697,2213
694438,13218467,3677
1198447,17041575,2557
1331214,15229925,2032
2197395,4998623,3699
979298,21707091,2323
1263016,6868557,3377
2113316,23038005,2155
71068,1560685,3925
2322517,15708183,2229
2140738,622645,5022
708315,21119989,3030
1351977,3851523,2170
639354,2461337,3023
1149163,16364567,3101
35108,442131,3250
1364861,1132953,3146
1557077,4922289,3156
189562,18534697,3977
1620245,2140937,2144
1924264,21525891,2229
1278545,2531887,2015
103349,18482763,2000
1563129,24952067,3042
2119727,21912847,2337
1840318,6265197,2000
462930,25201939,2518
440321,23091809,3029
317064,19002269,3015
1107085,18247087,2071
1565462,11551071,5114
419632,17228667,5710
1115880,17320597,3106
1180173,2832805,2140
1382081,20695523,2199
722321,18344097,3690
2062347,25498037,2612
270638,19518143,3064
1123712,24667141,2304
404624,23233769,3840
1345427,8342101,3134
1212521,25452741,3930
1930494,23562139,2000
657394,6496179,3280
1826078,7172077,2229
2309637,23532915,3765
170806,22984865,2535
160732,12576031,3752
210830,6969375,3223
308028,21425289,2090
504860,1282791,3860
1648805,5211241,2230
288334,22456723,2570
2114000,24670605,2090
1168403,10581727,2261
1037890,21423589,2230
542615,183397,2197
399960,5631239,3055
650336,19937155,2144
2195209,19644673,2221
2234750,21805373,2251
429243,15382895,2170
1905839,1152771,3138
2155890,14658681,3056
2185537,23633525,2103
84666,19992217,2144
2080968,16222507,2158
1386588,12430575,3444
1939418,21686409,2097
1868485,8784901,2200
2263329,21031671,3754
2185926,24879601,3101
2126404,8290727,2323
1777991,18124625,2015
1360691,25437667,3030
1287113,24060863,2260
1804532,1789675,2290
146931,23550757,3048
1066900,24642883,2122
1062582,9514601,2208
820680,10258521,3550
320364,6442543,2045
976075,25442049,3380
437190,23029921,2140
638038,18501427,2010
1723947,19879683,2260
1718666,16666525,2089
1552257,75111,2176
366141,20751045,2770
2236929,12946385,3029
2204246,24078691,2263
1100708,13022779,3152
938140,25242697,4510
1867502,7263023,2761
1025523,19818995,2333
534776,23442693,2165
1135784,15567353,2576
687378,21218283,2800
72241,14295823,3975
1737673,22386247,2145
2181832,6892439,3175
1032572,16626489,2770
1380443,23844423,2557
88896,3536443,3129
347289,20326027,2179
586559,22899521,3121
2219751,11510183,2770
1585504,20045205,2200
1233701,25408735,2043
178851,4307809,2225
1455445,17323851,3150
81376,9090609,2079
1660429,21480369,2745
324339,19729507,2540
51815,19809035,2767
1675717,22543441,2095
350166,23375773,3024
53389,19464013,3806
984898,15050463,2570
270792,2601795,3825
578114,21401645,4556
188333,25430085,3555
1356280,21743813,4301
937746,25557585,3155
2265975,13814499,2208
1909628,25594483,3337
407307,25238137,2079
741610,15694671,2018
1546251,22060299,2203
1224922,19756963,3089
566490,20554423,3034
1592136,16586481,2250
792057,25476279,3754
2187285,24645375,2154
91511,6937005,2015
1683626,20778201,3690
725168,19820507,5048
675469,2216751,3039
1343208,24022019,3088
1649957,8019809,2454
125033,12839185,3038
1976856,12144435,3076
1294310,22661617,3106
208879,17106391,2750
1228438,16801525,3556
1936128,1945507,3153
1303906,23629221,3039
1122009,25176091,2145
2315306,24049143,2150
99964,7423931,3096
1269754,23455485,2337
2151878,15048195,2031
1747848,24846641,2161
1049834,25165061,2134
1239350,21102771,2170
2308466,21861619,3029
829944,24136481,3012
359706,22204083,2780
1302930,20726019,2612
560424,11782765,3585
1759355,12438147,2263
2082681,20964613,3064
2322762,20128141,3220
6737,19906893,3207
962823,21411003,2095
425293,24333503,2088
23890,21271871,2122
1416261,22688569,2641
2237012,15417287,2026
1975305,12345737,3672
1485461,23509751,5066
429354,10929899,2060
1696349,18665735,2144
329797,18570449,2257
1312788,22188273,3012
1854119,24532641,2230
1594779,616941,3690
1804184,8164117,2207
1774971,6157635,2530
339084,12366909,3862
513723,24614063,3192
1506368,23066173,3850
2344979,910055,2040
1145879,21729377,5073
706447,20642495,2021
79008,17976133,2009
878859,15363213,3556
133695,499287,2137
89790,20513013,3677
1173906,25461765,3754
571958,25275393,2173
1629943,9090387,3551
1916012,21753057,2263
694921,15652715,3212
2070457,15811811,3783
1147809,4034987,3338
870528,3998061,3099
2168978,21601887,3082
2099760,14181781,3072
1283571,11485637,3037
1480472,2326797,4500
1131054,24180765,2131
2335830,21858403,3764
727954,19104731,3064
1728641,23756039,2217
1043103,18017845,3064
2207604,885565,2747
1060257,22163079,2558
2309873,17826827,3149
2055622,25336093,3220
1938669,16404289,5061
59013,22856585,2150
120424,17137243,3429
1636582,22883923,2327
82109,3981259,3082
1386569,20053883,3984
472276,17169227,2114
1416075,19493533,2611
325979,21719111,2019
275729,22981807,2213
46777,19311955,3551
1072065,20626385,2160
177074,3458467,2069
233740,8387277,2320
1509943,20418653,4109
2093403,22943009,2220
2007911,22590875,2800
922047,24528389,2017
1926695,25102465,3217
1396224,23894775,3173
2005242,6550785,2870
1495559,12930741,2261
36209,12530721,3357
2064628,10290665,2063
302863,20090317,2000
280217,9226575,2193
1995726,8722385,3133
430616,22234381,2290
239220,25009163,3806
1962810,6017981,3039
1467673,23537481,2203
