,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
199699,16923669,CST,0,0,1,
334221,22430133,NEWCON,0,1,1,
1529002,16775871,UNK,0,0,1,
2271418,22043987,ONLINETPU,0,0,1,
643687,24457111,DIGITAL,0,0,1,
1992068,25081015,ONLINETPU,0,0,1,0.0
908817,17475731,NBSC,0,0,1,
1334325,25611,NBSC,0,0,1,
2191195,20935303,DIGITAL,0,0,1,
336114,13367279,CST,0,0,1,
238843,25279589,ONLINETPU,0,1,0,
107151,21566581,ONLINETPU,0,0,1,
2139404,18212205,ONLINETPU,0,0,1,
1871588,20569573,NBSC,0,0,1,
663114,23313891,NBSC,0,0,1,0.0
991478,24081651,CONNECTNOW,0,1,0,0.0
1678027,9756493,ONLINETPU,0,0,1,0.0
1989637,14665065,CST,0,0,1,0.0
439386,19011379,NBSC,0,0,1,
1032697,9281369,ONLINETPU,0,0,1,
1937591,10961245,CST,0,0,1,
843985,25019341,CIC_SAL,0,0,1,
141591,4383509,NAV,0,0,1,
856831,2717449,DIGITAL,0,0,1,
700235,23187407,NBSC,0,1,0,
734661,24974935,DIGITAL,0,0,1,0.0
928942,5918053,DATACOM,0,0,1,
488486,2164361,ONLINETPU,0,0,1,
1402676,20985715,ONLINETPU,0,0,1,
1742005,20485299,NBSC,0,0,1,
1792364,1149693,NBSC,0,0,1,
1048540,24850975,ONLINETPU,0,0,1,0.0
2039727,21984361,NEWCON,0,1,1,
1973259,8495313,ONLINETPU,0,1,1,
1394858,23622913,NBSC,0,1,1,0.0
2265833,21818831,DIGITAL,0,1,1,
1665581,12449081,,0,0,0,
1650748,25114557,NEWCON,0,0,1,0.0
409276,7696601,NBSC,0,0,1,0.0
1814872,21998191,DIGITAL,0,0,1,
860608,13717743,,0,0,0,
1564726,17705781,ONLINETPU,0,0,1,
17873,12877039,NBSC,0,1,1,
2123860,2368707,NEWCON,0,0,1,
406068,23102297,NBSC,0,0,1,0.0
2093102,23807827,CIC_SAL,0,0,1,
307593,12034385,NBSC,0,0,1,
682124,23424879,DIGITAL,0,0,1,
495375,24972959,ONLINETPU,0,1,0,0.0
2113973,25288171,ONLINETPU,0,1,0,0.0
740982,5654395,NEWCON,0,1,1,
1258213,24426267,NBSC,0,1,0,
264974,619237,,0,0,0,
1324299,25499465,ONLINETPU,0,1,0,
1895944,18594437,NBSC,0,0,1,
1056937,16659535,DATACOM,0,0,1,
1263858,13199757,CIC_SAL,0,0,1,
458776,23543663,ONLINETPU,0,0,1,
1468857,24156683,NBSC,0,0,1,
982698,13910649,ONLINETPU,0,0,1,
2335918,4100733,,0,0,0,
1548024,11236237,,0,0,0,
166120,23460371,ONLINETPU,0,0,1,
2007721,13270849,NAV,0,1,0,
1711462,17757231,ONLINETPU,0,0,1,
238091,4373403,CIC_SAL,0,0,1,
708758,21523547,ONLINETPU,0,0,1,
1463084,10066283,NAV,0,1,1,
1457637,16102541,NBSC,0,0,1,
1436324,727341,ONLINETPU,0,0,1,
555970,22345443,ONLINETPU,0,0,1,
48074,20787127,NBSC,0,1,0,
636567,20796957,CIC_SAL,0,0,1,
2185528,24531711,ONLINETPU,0,0,1,
1534578,4720361,NBSC,0,0,1,
1668169,4508117,,0,0,0,
2280520,5385377,NBSC,0,0,1,
1429086,7501633,NAV,0,1,1,
2275352,25554941,ONLINETPU,0,0,1,
16387,9390811,DATACOM,0,0,1,
994261,24575919,DIGITAL,0,0,1,0.0
1494884,10277513,,0,0,0,
2302908,18382269,NBSC,0,0,1,0.0
1781046,25304149,NEWCON,0,0,1,
859590,16393623,CST,0,0,1,0.0
296299,25327549,CIC_SAL,0,0,1,
723140,8225131,ONLINETPU,0,1,1,0.0
843742,23244155,CIC_SAL,0,0,1,
1129735,3659917,ONLINETPU,0,1,0,
892491,17363451,CST,0,0,1,0.0
930956,19487203,DIGITAL,0,0,1,
2284879,22007763,NBSC,0,0,1,0.0
99157,4045361,DATACOM,0,0,1,
806196,22302525,NBSC,0,0,1,
1439546,14932039,CST,0,0,1,
248717,16631691,NBSC,0,0,1,
582080,1201701,,0,0,0,
2103507,14386883,ONLINE,0,0,1,
2229477,10853843,ONLINE,0,0,1,
2133776,20622801,NEWCON,0,0,1,
1104694,23025749,NBSC,0,1,1,
2250552,14155083,NEWCON,0,0,1,
2146803,23513727,NBSC,0,0,1,
316175,24473987,ONLINETPU,0,0,1,0.0
1020853,4881779,,0,0,0,
1857381,25245645,DIGITAL,0,0,1,0.0
136896,19936623,NBSC,0,0,1,
1933195,6248133,DATACOM,0,0,1,
1223141,19496481,DIGITAL,0,0,1,
886627,8541415,DIGITAL,0,0,1,
2220399,24689187,DIGITAL,0,0,1,
233547,4214635,NBSC,0,0,1,
254975,18180363,DIGITAL,0,0,1,
572778,5506981,,0,0,0,
1992449,20670013,ONLINETPU,0,0,1,
2204733,23745855,NBSC,0,1,0,
