,ACCT_ID_M,CVM_TOTAL_BILL_GROSS,CVM_AN_PERIOD_GM,CVM_REV_BILLED_DAYS,CVM_HOURS_WATCHED_TOTAL,CVM_SPORTS_HOURS_WATCHED_TOTAL,CVM_REV_LOYALTY_R_R_AMT
1085553,22929283,,,,,,
199699,16923669,635.7719666666665,38.51003999999988,353.0,2484.5454545454545,,
533407,25124129,,,,,,
334221,22430133,,,,,,
1529002,16775871,193.28166666666667,115.97231,352.0,694.0,,
1942451,19428623,125.04823333333333,62.111375,339.0,2926.7272727272725,,
2029032,22329655,306.50758333333334,55.35320000000002,90.0,933.6363636363636,,
2271418,22043987,203.65166666666667,80.30200999999995,199.0,736.1818181818181,,
643687,24457111,,,,,,
2017545,12603829,211.67198333333332,93.425,362.0,6504.181818181818,,
600741,18721949,515.01095,515.90368,365.0,23589.454545454544,,
1992068,25081015,,,,,,
908817,17475731,228.79163333333327,78.18211000000002,348.0,646.1818181818181,,
1890867,23951501,,,,,,
1334325,25611,103.5536,83.73176,365.0,2557.090909090909,,
2191195,20935303,207.6504666666666,119.79372000000004,341.0,649.4545454545455,,
336114,13367279,194.30908333333332,49.58999,365.0,6266.545454545455,,
784017,1916627,288.32041666666663,155.47039000000007,365.0,870.1818181818181,,
238843,25279589,,,,,,
319931,12203941,298.15291666666667,68.27201,365.0,939.8181818181819,,
107151,21566581,134.18333333333337,94.9448375,308.0,408.72727272727275,,
642710,24828417,,,,,,
1790595,17234643,248.69728333333327,203.33101,366.0,8979.818181818182,,
2139404,18212205,224.28751666666668,219.89830000000003,313.0,615.2727272727273,,
1871588,20569573,,,,,,
96869,8479857,216.04333333333338,107.84819,349.0,599.6363636363636,,
1015170,13608083,420.68195,198.79362,366.0,1075.090909090909,,
663114,23313891,,,,,,
991478,24081651,,,,,,
1678027,9756493,313.2606,140.93963105000006,340.0,885.4545454545455,,
1989637,14665065,195.54160000000002,64.885675,356.0,5906.909090909091,,
2273536,11811235,402.5077833333333,60.588730000000076,366.0,1002.1818181818181,,
1122915,24960473,,,,,,
439386,19011379,788.3685333333333,83.66162999999992,340.0,2493.090909090909,-1290.6666666666667,
1421984,2471791,82.13715,83.53853000000001,366.0,142.36363636363637,,
1032697,9281369,380.2084333333333,211.09764000000007,348.0,948.3636363636364,,
1937591,10961245,490.93861666666663,-37.75464999999994,337.0,1516.3636363636363,,
517517,24296747,,,,,,
843985,25019341,,,,,,
141591,4383509,347.40211666666664,36.78007,364.0,14839.636363636364,,
1849637,12682623,456.3553500000001,166.39971000000006,365.0,1142.5454545454545,,
856831,2717449,470.73235,-129.77002449999998,340.0,1407.090909090909,,
700235,23187407,,,,,,
734661,24974935,,,,,,
928942,5918053,131.20233333333337,97.49119,337.0,3939.2727272727275,,
488486,2164361,759.4268833333331,-163.34393000000014,366.0,3086.909090909091,-464.0,
1020220,18519773,84.13263333333333,87.8577,358.0,1698.1818181818182,,
1402676,20985715,84.5675,73.442725,330.0,1962.7272727272727,,
1742005,20485299,147.87684999999996,126.23002,366.0,3866.909090909091,,
1792364,1149693,155.9518,-597.77662,355.0,252.1818181818182,-799.6486926666668,
1048540,24850975,,,,,,
2039727,21984361,,,,,,
1973259,8495313,266.88373333333345,139.37856000000002,358.0,799.0909090909091,,
1394858,23622913,,,,,,
2265833,21818831,126.13081666666666,94.74102500000002,267.0,3241.4545454545455,,
1665581,12449081,235.43298333333337,218.46387999999996,366.0,8356.727272727272,,
1650748,25114557,,,,,,
409276,7696601,317.07573333333335,55.709400000000066,357.0,1085.4545454545455,,
1814872,21998191,167.62841666666665,55.21935000000002,207.0,4706.0,,
860608,13717743,94.16868333333333,94.93885999999999,366.0,191.0909090909091,,
1564726,17705781,181.15513333333334,91.768925,314.0,5654.363636363636,,
1682997,15128219,390.86605000000003,118.04376000000002,352.0,1550.5454545454545,,
108244,17255411,437.1937499999999,225.0165499999999,366.0,1226.909090909091,,
17873,12877039,205.68499999999997,96.16695,365.0,7096.363636363636,,
1318326,18002299,154.23521666666667,123.86298,351.0,330.3636363636364,,
2123860,2368707,251.08166666666668,18.862330000000032,358.0,640.3636363636364,,
406068,23102297,,,,,,
2093102,23807827,,,,,,
307593,12034385,546.4958166666669,155.66335999999995,366.0,1814.3636363636363,,
1781187,23923525,,,,,,
803090,727753,159.36533333333333,122.74439,354.0,331.09090909090907,,
682124,23424879,,,,,,
495375,24972959,,,,,,
1345156,22074891,156.75461666666666,84.52279999999998,210.0,460.90909090909093,,
770674,24190179,,,,,,
908245,1871513,444.95603333333344,318.83859000000007,365.0,1230.1818181818182,,
2113973,25288171,,,,,,
1214400,20218835,,,,,,
740982,5654395,249.53091666666668,142.45788000000005,366.0,823.0909090909091,,
1258213,24426267,,,,,,
264974,619237,193.73690000000008,161.99916000000002,364.0,594.5454545454545,,
1449173,23819549,,,,,,
1324299,25499465,,,,,,
1895944,18594437,212.0252833333333,-53.41466999999998,366.0,619.8181818181819,-434.0335813333334,
